Slice,ROI,Density_Human,Linear_ext,Calcification
RS0030,1,1.577814706,3.685192444,0.581455083
RS0030,1,1.631327499,3.761049254,0.613550307
RS0030,1,1.651880863,3.761125492,0.621293122
RS0030,1,1.630756156,3.78788503,0.617711683
RS0030,1,1.611794663,3.761125492,0.606216199
RS0030,1,1.617855801,3.888138,0.629044662
RS0030,1,1.668086409,4.066001254,0.678244143
RS0030,1,1.637846735,3.938988746,0.645145986
RS0030,1,1.629564914,3.811976238,0.621186273
RS0030,1,1.673467063,3.659424,0.612392553
RS0030,1,1.728133011,5.065710148,0.875422093
RS0030,1,1.74704309,4.862408815,0.849483772
RS0030,1,1.706703264,5.065608497,0.864549056
RS0030,1,1.767382727,4.743833312,0.838416906
RS0030,1,1.731143857,4.659005831,0.806540933
RS0030,1,1.755448993,4.439033788,0.779249739
RS0030,1,1.721464113,4.760656497,0.819529931
RS0030,1,1.660731565,4.760656497,0.790617252
RS0030,1,1.691851187,4.591357312,0.776789332
RS0030,1,1.748980069,4.438779661,0.776333716
RS0030,2,1.729108122,3.40288313,0.588395286
RS0030,2,1.627280647,3.283799374,0.534366317
RS0030,2,1.632472816,3.379096874,0.551628379
RS0030,2,1.667838075,3.461281438,0.577285697
RS0030,2,1.689271501,3.587455328,0.606018605
RS0030,2,1.650307839,3.544075906,0.584881625
RS0030,2,1.595129688,3.475766658,0.554429859
RS0030,2,1.750957116,3.479731034,0.609285982
RS0030,2,1.650872079,3.428575336,0.566013929
RS0030,2,1.694588798,3.494673682,0.592203488
RS0030,2,1.63432714,3.338766972,0.545663748
RS0030,2,1.660556181,3.467380478,0.575778008
RS0030,2,1.776971016,4.179824588,0.742742715
RS0030,2,1.872390235,4.198579136,0.786137858
RS0030,2,1.734783545,4.14048578,0.71828466
RS0030,2,1.896089789,4.739640222,0.898678343
RS0030,2,1.81035238,4.734837228,0.857172385
RS0030,2,1.755339824,4.655549708,0.81720718
RS0030,2,1.832372033,4.664850744,0.854774204
RS0030,2,1.829592882,4.863145782,0.88975769
RS0030,2,1.691470198,4.634965448,0.783990592
RS0030,2,1.71879099,4.721266864,0.811487095
RS0030,3,1.375674545,2.994476164,0.411942463
RS0030,3,1.410251566,3.16463938,0.446293764
RS0030,3,1.320376586,3.253227936,0.429548599
RS0030,3,1.379833028,3.587150376,0.494966857
RS0030,3,1.374322633,3.697543,0.508161703
RS0030,3,1.432696889,3.682371638,0.527572239
RS0030,3,1.419899873,3.602702928,0.511547743
RS0030,3,1.353645951,3.648217014,0.493839419
RS0030,3,1.500124566,3.574113678,0.536161573
RS0030,3,1.424188013,3.547582854,0.505242497
RS0030,3,1.445503978,3.363315608,0.486168609
RS0030,3,1.513970151,3.161132432,0.478586015
RS0030,3,1.526140645,2.95117298,0.450390504
RS0030,3,1.53101637,2.8055584,0.429535584
RS0030,3,1.482380263,2.698901438,0.400079822
RS0030,3,1.502399042,2.4739231,0.37168197
RS0030,3,1.482825996,2.294230134,0.340194408
RS0030,3,1.471726964,3.172796846,0.466949067
RS0116,1,1.620288495,6.83962707,1.108216905
RS0116,1,1.574694855,6.890209521,1.084997748
RS0116,1,1.595793488,6.737984073,1.075243111
RS0116,1,1.622718284,7.069877622,1.147241968
RS0116,1,1.558940326,7.113479886,1.108949065
RS0116,1,1.576466837,7.264079811,1.145158092
RS0116,1,1.534246791,7.247250867,1.111907139
RS0116,1,1.595167481,7.601328024,1.212539127
RS0116,1,1.567526496,7.530283107,1.180391829
RS0116,1,1.554137752,7.566140232,1.175882417
RS0116,1,1.515070401,7.609073163,1.152828153
RS0116,1,1.509964109,7.434568488,1.122593158
RS0116,1,1.527312402,7.304144172,1.115570998
RS0116,1,1.502959201,7.76904375,1.167655579
RS0116,1,1.509415174,7.76904375,1.172671252
RS0116,1,1.46650451,7.930353003,1.162989844
RS0116,1,1.494068179,6.672198201,0.996871902
RS0116,1,1.544737565,6.558124734,1.013058164
RS0116,1,1.514024277,6.710350182,1.015963308
RS0116,1,1.570894872,6.862193154,1.077978404
RS0116,1,1.516867184,7.166835288,1.087113726
RS0116,1,1.583538096,7.025606025,1.112531479
RS0116,1,1.594709415,6.75739473,1.077608099
RS0116,1,1.476161524,6.535176174,0.964697562
RS0116,1,1.482425564,6.471876396,0.959407502
RS0116,1,1.392002779,6.162070836,0.857761973
RS0116,1,1.396554432,6.031264044,0.842298853
RS0116,1,1.453130128,5.788965498,0.841212018
RS0116,1,1.44221766,6.329212848,0.912810254
RS0116,1,1.454637312,5.888600496,0.8565778
RS0116,1,1.480736197,6.156142458,0.911562297
RS0116,1,1.365926105,8.976329244,1.226100245
RS0116,1,1.377519442,7.735385862,1.065564442
RS0116,1,1.371292826,7.375475946,1.011393725
RS0116,1,1.387392665,7.18481166,0.996815499
RS0116,1,1.323469381,6.346615506,0.839955129
RS0116,1,1.30964017,6.323666946,0.828172825
RS0116,1,1.374225671,6.147536748,0.844810281
RS0116,1,1.333871835,6.119616,0.816278342
RS0116,1,1.409399096,6.136253706,0.864843043
RS0116,1,1.444171015,6.15977598,0.889576993
RS0116,1,1.496874997,6.093416394,0.912108265
RS0116,1,1.348174648,8.727528606,1.17662328
RS0116,1,1.319148177,8.546043744,1.127349803
RS0116,1,1.322658439,9.07902405,1.200844778
RS0116,1,1.294012881,9.576816564,1.2392524
RS0116,1,1.351537319,9.584466084,1.29537636
RS0116,1,1.357015906,9.469723284,1.285056513
RS0116,2,1.505588651,6.027056808,0.907426833
RS0116,2,1.507690123,5.858289273,0.883248488
RS0116,2,1.585666108,5.853317085,0.928140652
RS0116,2,1.54616974,5.967964266,0.922748576
RS0116,2,1.539772917,5.949892275,0.916148298
RS0116,2,1.510073871,5.901222204,0.891128146
RS0116,2,1.515179597,5.747466852,0.870844451
RS0116,2,1.542797966,5.459940519,0.842358513
RS0116,2,1.579118822,5.578986174,0.880988207
RS0116,2,1.572749995,5.375604561,0.845448205
RS0116,2,1.610973472,5.442920337,0.876840027
RS0116,2,1.614586377,5.258184429,0.848979295
RS0116,2,1.507907504,4.759148868,0.717635629
RS0116,2,1.445923901,6.73030268,0.973150551
RS0116,2,1.454648438,6.738334676,0.980190801
RS0116,2,1.454191181,6.728454046,0.978445854
RS0116,2,1.448220422,6.74878902,0.977373408
RS0116,2,1.44492487,6.894002408,0.996131554
RS0116,2,1.433433083,7.1331774,1.022493247
RS0116,2,1.423841287,7.422966716,1.056912648
RS0116,2,1.441555281,7.362854238,1.061396141
RS0116,2,1.456636628,7.446297752,1.084655005
RS0116,2,1.444876402,7.287315228,1.05292698
RS0116,2,1.469034028,7.331873682,1.077077193
RS0116,2,1.478358599,7.379746928,1.090991233
RS0116,2,1.484165503,7.439030708,1.104075275
RS0116,2,1.470392205,7.458090762,1.096631852
RS0116,2,1.4792543,7.706955146,1.140054654
RS0116,2,1.502293787,7.6877676,1.15492855
RS0116,2,1.485943878,7.77286851,1.155004637
RS0116,2,1.495105078,7.773952192,1.16228754
RS0116,2,1.484682517,7.889906166,1.171400574
RS0116,2,1.482269153,7.998465604,1.185587884
RS0116,3,1.684733607,6.257594217,1.054237927
RS0116,3,1.63930637,6.479908392,1.062255511
RS0116,3,1.683290711,6.222980139,1.047508466
RS0116,3,1.663648446,5.923023336,0.985382857
RS0116,3,1.6700074,5.837635569,0.97488946
RS0116,3,1.686799395,5.84805804,0.986450076
RS0116,3,1.663128438,5.752343421,0.956688593
RS0116,3,1.682472689,5.943963897,1.000055692
RS0116,3,1.662955885,6.201465864,1.031276415
RS0116,3,1.658442991,6.236558037,1.034297596
RS0116,3,1.6958073,6.186358062,1.049087116
RS0116,3,1.632953242,5.381915415,0.878841622
RS0116,3,1.642592172,5.295953934,0.869909247
RS0116,3,1.659141297,5.679481743,0.94230627
RS0116,3,1.642648408,5.589217407,0.918111908
RS0116,3,1.639616805,5.361166092,0.879025802
RS0116,3,1.644604879,5.238104439,0.861461212
RS0116,3,1.621496046,5.479542414,0.888505636
RS0116,3,1.619791993,5.258184429,0.851716504
RS0116,3,1.607042891,5.351126097,0.859948915
RS0116,3,1.62904111,5.288591271,0.861533259
RS0116,3,1.629962056,5.224526541,0.851578002
RS0116,3,1.62553287,5.117337642,0.831840055
RS0116,3,1.62920367,5.147457627,0.838625686
RS0116,3,1.635362762,5.188669416,0.848535675
RS0128,1,1.731882108,4.715636796,0.816692699
RS0128,1,1.787075368,4.29984477,0.768414667
RS0128,1,1.706567763,3.70719297,0.632657601
RS0128,1,1.810631855,4.12308897,0.746539623
RS0128,1,1.622718652,4.456637562,0.72318689
RS0128,1,1.744939757,4.286951994,0.748047297
RS0128,1,1.736536825,4.426485102,0.768675438
RS0128,1,1.760503924,4.450918992,0.783586035
RS0128,1,1.771273832,4.292358642,0.760294254
RS0128,1,1.667186154,4.274683062,0.712669241
RS0128,1,1.681300296,3.70719297,0.623290464
RS0128,1,1.78589381,4.249625328,0.758937957
RS0128,1,1.6797984,4.192959498,0.704332665
RS0128,1,1.70117366,4.048955508,0.688797646
RS0128,1,1.767544544,3.902040246,0.689702995
RS0128,1,1.782559144,4.068398646,0.725216121
RS0128,1,1.754045143,3.850053246,0.67531672
RS0128,1,1.776022136,4.169461374,0.74050557
RS0128,1,1.750430889,3.992913522,0.698931917
RS0128,1,1.845160451,4.023481878,0.742396964
RS0128,1,1.856498433,3.842151222,0.713294772
RS0128,1,1.667206088,3.740776572,0.623664548
RS0128,1,1.669648228,3.641897298,0.608068737
RS0128,1,1.806347545,3.538859064,0.639240938
RS0128,1,1.89083402,3.16808778,0.599032815
RS0128,1,1.82801125,3.162265236,0.578065643
RS0128,1,1.783422671,2.936121786,0.523634616
RS0128,1,1.718081338,2.962427208,0.50896909
RS0128,2,1.633862743,4.393109448,0.717773785
RS0128,2,1.678037479,4.460276652,0.748451139
RS0128,2,1.656812127,4.296101706,0.71178334
RS0128,2,1.674915463,4.11321144,0.688928144
RS0128,2,1.707472796,4.6060482,0.7864702
RS0128,2,1.634427712,4.686004206,0.765893513
RS0128,2,1.661840943,4.210635078,0.699740577
RS0128,2,1.659498518,4.27749036,0.709848891
RS0128,2,1.671316568,4.490533086,0.750510235
RS0128,2,1.672742839,4.241931252,0.709566013
RS0128,2,1.645741521,4.686004206,0.771195169
RS0128,2,1.581890669,4.166134206,0.659036883
RS0128,2,1.532705541,4.320223674,0.662163076
RS0128,2,1.588541787,3.99156186,0.634076281
RS0128,2,1.641736757,4.061016492,0.666712005
RS0128,2,1.581087198,4.016099724,0.634980386
RS0128,2,1.571821243,4.582861998,0.720343984
RS0128,2,1.587659207,4.441665306,0.705185082
RS0128,2,1.619470271,4.60656807,0.746020004
RS0128,2,1.675091014,4.480655556,0.750550586
RS0128,2,1.684737783,4.696401606,0.791220523
RS0128,2,1.583353032,4.510600068,0.714187229
RS0128,2,1.604379877,4.311177936,0.691676713
RS0128,2,1.601360556,4.2369405,0.678486939
RS0128,3,1.666621269,3.367509912,0.561236364
RS0128,3,1.650343274,3.370109262,0.556183715
RS0128,3,1.665978241,3.09946494,0.516364115
RS0128,3,1.700584308,3.385185492,0.575679333
RS0128,3,1.64241252,3.406084266,0.559419544
RS0128,3,1.602063766,3.448609632,0.552489253
RS0128,3,1.650428091,3.37499604,0.557018827
RS0128,3,1.693734348,3.454744098,0.585141874
RS0128,3,1.578455742,3.285162504,0.518548362
RS0128,3,1.572459152,3.349106514,0.526633319
RS0128,3,1.625497498,3.403692864,0.553269423
RS0128,3,1.652916311,6.862491948,1.134312488
RS0128,3,1.641014284,6.764340492,1.110037937
RS0128,3,1.625794377,6.757686156,1.098660816
RS0128,3,1.65315901,6.427048836,1.062493369
RS0128,3,1.640000177,6.709650168,1.100382746
RS0128,3,1.572379497,6.403134816,1.00681579
RS0128,3,1.624896311,6.343661688,1.030779248
RS0128,3,1.596914502,6.342414,1.01282929
RS0128,3,1.678005667,6.045880152,1.014502116
RS0128,3,1.741679835,4.487101944,0.781509497
RS0128,3,1.713576572,4.992207636,0.855453005
RS0128,3,1.65592342,5.087863716,0.842511268
RS0128,3,1.663426565,5.2246935,0.869089396
RS0128,3,1.642741043,4.999485816,0.821286054
RS0128,3,1.622733047,5.542230096,0.899355993
RS0128,3,1.656922292,5.34634308,0.885847503
RS0128,3,1.731995924,5.674069128,0.98274646
RS0128,3,1.622724191,5.774923908,0.937110873
RS0128,3,1.614121703,5.82566322,0.940332944
RS0128,3,1.633535941,5.250687,0.857718593
RS0128,3,1.679427531,5.373792216,0.90248946
RS0128,3,1.583431511,5.162101152,0.817383363
RS0128,3,1.5702083,5.162101152,0.810557408
RS0128,3,1.579887049,5.778666972,0.912964111
RS0128,3,1.684317855,6.19789014,1.043921702
